post_title,sku,images,product_page_url
Dettol Shower Gel Original Puff 250 mL,100014,https://ucpksa.com/wp-content/uploads/2025/10/10126.webp ! alt : Dettol S/g Original Puff 250 mL - 59295 ! title : 10126.webp ! desc :  ! caption :,https://ucpksa.com/shop/dettol-s-g-original-puff-250ml/
Dettol Shower Gel Cool 250 mL,100018,https://ucpksa.com/wp-content/uploads/2026/01/Dettol-Sg-Cool-250-mL.webp ! alt :  ! title : Dettol Sg Cool 250 mL ! desc :  ! caption :  | https://ucpksa.com/wp-content/uploads/2026/01/Dettol-Sg-Cool-250-mL1.webp ! alt :  ! title : Dettol Sg Cool 250 mL1 ! desc :  ! caption :,https://ucpksa.com/shop/dettol-s-g-cool-250ml/
Dettol H/w Original 200 mL,100020,https://ucpksa.com/wp-content/uploads/2025/09/201914_3.jpg ! alt : Dettol H/w Original 200 mL - 47303 ! title : 201914_3.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dettol-h-w-original-200ml/
"Dettol Skincare Liquid Handwash Pump, Rose & Sakura Blossom Scent, 200ml",100022,"https://ucpksa.com/wp-content/uploads/2025/09/100524119_a6d1eddfa091c9b57_1058.jpg ! alt : Dettol Skincare Liquid Handwash Pump, Rose &amp; Sakura Blossom Scent, 200ml - 63090 ! title : 100524119_a6d1eddfa091c9b57_1058 ! desc :  ! caption : ",https://ucpksa.com/shop/dettol-h-w-skincare-200ml/
Dettol Wipes Sensitive 10 pcs,100023,https://ucpksa.com/wp-content/uploads/2025/11/10136.png ! alt : Dettol Wipes Srp 10 pcs - 59872 ! title : 10136.png ! desc :  ! caption :,https://ucpksa.com/shop/dettol-wipes-srp-10-pcs/
Dettol Wipes Antibacterial Skincare 10 pcs,100024,https://ucpksa.com/wp-content/uploads/2025/09/201883_2.jpg ! alt : Dettol Wipes Ab Skincare 10 pcs - 47311 ! title : 201883_2.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dettol-wipes-ab-skincare-10-pcs/
Dove Shower Gel Revive 500 mL,100026,https://ucpksa.com/wp-content/uploads/2025/09/224291-2.jpg ! alt : Dove S/g Revive 500 mL - 47316 ! title : 224291-2.jpg ! desc :  ! caption :  | https://ucpksa.com/wp-content/uploads/2025/09/DOVE_Go_Fresh_Reviving_Body_Wash_for_skin_moisturising_Pomegranate_and_Hibiscus_Tea_With_moisture_renew_blend_500ml_1.webp ! alt : Dove Shower Gel Revive 500 mL - 73402 ! title : DOVE_Go_Fresh_Reviving_Body_Wash_for_skin_moisturising_Pomegranate_and_Hibiscus_Tea_With_moisture_renew_blend_500ml_1 ! desc :  ! caption :,https://ucpksa.com/shop/dove-s-g-revive-500-ml/
Dove Women Deodorant Stick Original 40 Gm,100028,"https://ucpksa.com/wp-content/uploads/2025/09/212086-1.jpg ! alt : Dove Women Deo Stick Original 40 Gm - 47320 ! title : 212086-1.jpg ! desc :  ! caption :  | https://ucpksa.com/wp-content/uploads/2025/09/51DkwJHvH9L._AC_UF350350_QL80_.jpg ! alt : Dove Women Deodorant Stick Original 40 Gm - 73407 ! title : 51DkwJHvH9L._AC_UF350,350_QL80_ ! desc :  ! caption :  | https://ucpksa.com/wp-content/uploads/2025/09/5150DTnEJ4L._AC_UF350350_QL80_.jpg ! alt : Dove Women Deodorant Stick Original 40 Gm - 73408 ! title : 5150DTnEJ4L._AC_UF350,350_QL80_ ! desc :  ! caption : ",https://ucpksa.com/shop/dove-women-deo-stick-original-40-gm/
Dove Roll On Invisible Dry Women 50 mL,100034,https://ucpksa.com/wp-content/uploads/2025/09/220677.jpg ! alt : Dove Roll On Invisible Dry Wmn 50 mL - 47332 ! title : 220677.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dove-roll-on-invisible-dry-wmn-50ml/
Dove Hair Shampoo Hairfall 400m,100036,https://ucpksa.com/wp-content/uploads/2025/09/202207.jpg ! alt : Dove H/sh Hairfall 400m - 47338 ! title : 202207.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dove-h-sh-hairfall-400m/
Dove Shampoo Ritual Lavendar 400m,100037,https://ucpksa.com/wp-content/uploads/2025/09/228961.jpg ! alt : Dove Sh Ritual Lavendar 400m - 47340 ! title : 228961.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dove-sh-ritual-lavendar-400m/
Dove Intensive Cream 250 mL,100038,https://ucpksa.com/wp-content/uploads/2025/09/202164.jpg ! alt : Dove Intensive Cream 250 mL - 47342 ! title : 202164.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dove-intensive-cream-250-ml/
Dove Intensive Cream 150 mL,100040,https://ucpksa.com/wp-content/uploads/2025/09/202163.jpg ! alt : Dove Intensive Cream 150 mL - 47347 ! title : 202163.jpg ! desc :  ! caption :,https://ucpksa.com/shop/dove-intensive-cream-150-ml/
Dove Bar Soap Pink 160 Gm,100041,https://ucpksa.com/wp-content/uploads/2025/10/10158.webp ! alt : Dove Bar Soap Pink 160 Gm - 59029 ! title : 10158.webp ! desc :  ! caption :,https://ucpksa.com/shop/dove-bar-soap-pink-160-gm/
Dove Bar Soap Pink 125 Gm,100043,https://ucpksa.com/wp-content/uploads/2025/10/10160.webp ! alt : Dove Bar Soap Pink 125 Gm - 59030 ! title : 10160.webp ! desc :  ! caption :,https://ucpksa.com/shop/dove-bar-soap-pink-125-gm/
Durex Condom Extra Safe 20 pcs,100045,https://ucpksa.com/wp-content/uploads/2025/09/229651_3.jpg ! alt : Durex Con Extra Safe 20 pcs - 47357 ! title : 229651_3.jpg ! desc :  ! caption :,https://ucpksa.com/shop/durex-con-extra-safe-20pcs/
Durex Condom Extra Safe 12 pcs,100046,https://ucpksa.com/wp-content/uploads/2025/09/202326_3.jpg ! alt : Durex Con Extra Safe 12 pcs - 47359 ! title : 202326_3.jpg ! desc :  ! caption :,https://ucpksa.com/shop/durex-con-extra-safe-12pcs/
Durex Condom Extra Safe 6 pcs,100049,https://ucpksa.com/wp-content/uploads/2025/09/202328_4.jpg ! alt : Durex Con Extra Safe 6 pcs - 47365 ! title : 202328_4.jpg ! desc :  ! caption :,https://ucpksa.com/shop/durex-con-extra-safe-6pcs/
Durex Condom Extended Pleasure 3 pcs,100051,https://ucpksa.com/wp-content/uploads/2025/09/219919_4.jpg ! alt : Durex Con Extended Pleasure 3 pcs - 47369 ! title : 219919_4.jpg ! desc :  ! caption :,https://ucpksa.com/shop/durex-con-extended-pleasure-3-pcs/
Durex Condom Thin Feel 3 pcs,100052,https://ucpksa.com/wp-content/uploads/2025/09/202330_3.jpg ! alt : Durex Con Thin Feel 3 pcs - 47371 ! title : 202330_3.jpg ! desc :  ! caption :,https://ucpksa.com/shop/durex-con-thin-feel-3-pcs/
Energy Facial Bleaching System,100053,https://ucpksa.com/wp-content/uploads/2025/09/217604_2.jpg ! alt : Energy Facial Bleaching System - 47373 ! title : 217604_2.jpg ! desc :  ! caption :,https://ucpksa.com/shop/energy-facial-bleaching-system/
Eskinol Face Wash Papaya 225 mL,100054,https://ucpksa.com/wp-content/uploads/2025/09/231282.jpg ! alt : Eskinol F/wash Papaya 225 mL - 47375 ! title : 231282.jpg ! desc :  ! caption :,https://ucpksa.com/shop/eskinol-f-wash-papaya-225ml/
Femfresh Intimate Silver Wash 250 mL,100055,https://ucpksa.com/wp-content/uploads/2025/09/225876.jpg ! alt : Femfresh Intimate Silver Wash 250 mL - 47379 ! title : 225876.jpg ! desc :  ! caption :,https://ucpksa.com/shop/femfresh-intimate-silver-wash-250-ml/
Garnier Face Anti Acne Serum 30 mL,100056,https://ucpksa.com/wp-content/uploads/2025/09/240121_1.jpg ! alt : Garnier Face Anti Acne Serum 30 mL - 47381 ! title : 240121_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-face-anti-acne-serum-30-ml/
Garnier Micellar Water Sensitive 700 mL,100057,https://ucpksa.com/wp-content/uploads/2025/09/234732_1.jpg ! alt : Garnier Micellar Water Sensitive 700 mL - 47383 ! title : 234732_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-micellar-water-sensitive-700ml/
Garnier Face Cream-day Fairness 100 mL,100058,https://ucpksa.com/wp-content/uploads/2025/09/234849-1.jpg ! alt : Garnier Face Cream-day Fairness 100 mL - 47387 ! title : 234849-1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-face-cream-day-fairness-100ml/
Garnier Olia 9.1 Ashy Light Blond,100059,https://ucpksa.com/wp-content/uploads/2025/09/Ashly-Light_batcheditor_fotor.webp ! alt : Adol Extra 24 Cap - 54487 ! title : Ashly Light_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-9-1-ashy-light-blond/
Garnier Olia 7.31 Almond,100060,https://ucpksa.com/wp-content/uploads/2025/09/GARNIER-ALMOND_batcheditor_fotor.webp ! alt : Adol Extra 24 Cap - 54462 ! title : GARNIER ALMOND_batcheditor_fotor ! desc :  ! caption :,https://ucpksa.com/shop/garnier-olia-7-31-almond/
